Name	GWP_constr	GWP_op
NUCLEAR	20.525333	0.000000
CCGT	25.730600	0.000000
CCGT_CCS	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
COAL_US_CCS	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000
PV	0.050953	0.000000
WIND	0.560565	0.000000
HYDRO_DAM	0.000000	0.000000
NEW_HYDRO_DAM	0.000000	0.000000
HYDRO_RIVER	0.000000	0.000000
NEW_HYDRO_RIVER	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.819456	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.847906	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	1.968255	0.000000
IND_DIRECT_ELEC	0.000000	0.000000
DHN_HP_ELEC	6.131633	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	0.543529	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	1.391435	0.000000
DHN_DEEP_GEO	8.060641	0.000000
DEC_HP_ELEC	0.000000	0.000000
DEC_THHP_GAS	82.589880	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	18.778834	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	2.682698	0.000000
DEC_SOLAR	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK	0.000000	0.000000
PUMPED_HYDRO	0.000000	0.000000
POWER2GAS	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
POWER2GAS_1	0.000000	0.000000
POWER2GAS_2	0.000000	0.000000
POWER2GAS_3	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	2163.874608
DIESEL	0.000000	4358.078322
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	1978.525570
LNG	0.000000	0.000000
NG	0.000000	30540.003517
NG_CCS	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	0.000000	0.000000
COAL	0.000000	0.000000
COAL_CCS	0.000000	0.000000
URANIUM	0.000000	313.569805
WASTE	0.000000	1672.414200
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
