Name	1	2	3	4	5	6	7	8	9	10	11	12
Nuclear	3720.000	0.000	3720.000	3600.000	3720.000	346.200	3720.000	3720.000	3600.000	3720.000	3600.000	3720.000
NG	0.000	12633.404	0.000	0.000	5533.917	14040.000	6370.413	0.000	7512.344	7284.272	12988.424	0.000
Coal	10644.893	5376.000	12648.000	12240.000	12648.000	5447.587	12648.000	12648.000	12240.000	12648.000	6480.000	12648.000
Hydro Dams	3327.565	3081.543	2560.231	2773.963	2825.019	2599.046	2614.365	2329.959	2130.311	1718.888	1823.199	1671.001
Hydro River	1077.087	997.453	828.712	897.893	914.420	841.275	846.234	754.176	689.552	556.380	590.144	540.880
Wind	6424.183	4987.463	5575.706	3479.928	3474.715	2684.889	2949.467	2680.110	3101.959	5521.834	5995.382	6707.008
Solar	1591.044	2564.621	3622.685	4453.344	4699.699	4571.784	4944.475	4699.699	3719.016	2643.581	1516.032	1077.014
Geothermal	1267.776	0.000	1267.776	1177.805	1267.776	1226.880	1267.776	1267.776	1226.880	1267.776	1226.880	1267.776
Electricity	7308.183	0.000	3205.968	3134.728	277.185	0.000	0.000	7261.011	0.000	0.000	0.000	5184.571
CHP	0.000	2298.240	1931.653	2462.400	0.000	2462.400	0.000	0.000	0.000	0.000	0.000	2544.480
