period	demand_gwh	cost_meur	price_eur_per_mwh
1	26691.113822	3845.110166	144.059562
2	30364.980205	3029.092547	99.756118
3	34241.658604	3297.479959	96.300240
4	34242.082280	3337.807142	97.476757
5	32763.005124	3430.706637	104.712819
6	32983.666301	3451.190422	104.633317
7	32118.500938	3488.776464	108.622020
8	16833.055508	4642.588006	275.801859
9	29433.408954	3524.811207	119.755452
10	34408.113333	3536.948370	102.794022
11	32823.825917	3465.592041	105.581599
12	20733.545254	4499.055294	216.994018
