Name	1	2	3	4	5	6	7	8	9	10	11	12
Nuclear	3720.000	3360.000	3720.000	706.200	0.000	3600.000	3720.000	3720.000	3600.000	3720.000	3600.000	3720.000
NG CCS	3020.274	0.000	7812.000	6411.742	745.335	2016.248	1770.899	0.000	3044.826	0.000	442.972	3065.474
NG	14508.000	13104.000	3393.000	14040.000	14508.000	14040.000	14508.000	14508.000	14040.000	0.000	14040.000	14508.000
Coal	0.000	3513.847	0.000	0.000	6696.000	0.000	0.000	5223.788	0.000	0.000	2175.680	0.000
Hydro Dams	3327.565	3081.543	2560.231	2773.963	2825.019	2599.046	2614.365	2329.959	2130.311	1718.888	1823.199	1671.001
Hydro River	1077.087	997.453	828.712	897.893	914.420	841.275	846.234	754.176	689.552	556.380	590.144	540.880
Wind	6848.984	5317.260	5944.401	3710.040	3704.482	2862.428	3144.502	2857.333	3307.077	5886.967	6391.829	7150.511
Solar	1591.044	2564.621	3622.685	4453.344	4699.699	4571.784	4944.475	4699.699	3719.016	2643.581	1516.032	1077.014
Geothermal	1267.776	0.000	1267.776	1226.880	1267.776	1226.880	1267.776	1267.776	1226.880	1267.776	1177.805	1267.776
Electricity	0.000	0.000	6211.926	0.000	0.000	0.000	0.000	0.000	0.000	19567.139	0.000	592.581
CHP	0.000	0.000	0.000	0.000	0.000	2462.400	2544.480	0.000	2462.400	0.000	2462.400	1767.493
