source,target,realValue,layerID,layerColor,layerUnit
NG,Elec,145.20,NG,#FFD700,TWh
NG CCS,Elec,28.33,NG,#FFD700,TWh
Electricity,Elec,26.37,Electricity,#00BFFF,TWh
Nuclear,Elec,37.19,Nuclear,#FFC0CB,TWh
Wind,Elec,57.13,Wind,#FFA500,TWh
Hydro Dams,Elec,29.46,Hydro Dam,#00CED1,TWh
Hydro River,Elec,9.53,Hydro River,#0000FF,TWh
Coal,Elec,17.61,Coal,#A0522D,TWh
Solar,Elec,40.10,Solar,#FFFF00,TWh
Geothermal,Elec,13.73,Geothermal,#FF0000,TWh
Biomass,Elec,11.70,Biomass,#CD853F,TWh
Elec,Exp & Loss,29.14,Electricity,#00BFFF,TWh
Elec,Elec: HOUSEHOLDS,83.10,Electricity,#00BFFF,TWh
Elec,Elec: SERVICES,114.50,Electricity,#00BFFF,TWh
Elec,Elec: INDUSTRY,181.10,Electricity,#00BFFF,TWh
Elec,Elec: TRANSPORTATION,8.50,Electricity,#00BFFF,TWh
CHP,Elec,11.70,Electricity,#00BFFF,TWh
CHP,Heat HT,0.00,Heat HT,#DC143C,TWh
