period	demand_gwh	cost_meur	price_eur_per_mwh
1	29235.593822	3870.318500	132.383783
2	32955.616438	2910.382999	88.312200
3	35795.916608	3317.785964	92.686157
4	28122.082280	3760.825067	133.732098
5	28983.485124	3893.033494	134.319026
6	26210.277641	3724.773279	142.111172
7	25794.500938	3925.894987	152.198912
8	27263.032697	4048.046258	148.481143
9	23313.408954	3947.829132	169.337275
10	36486.575342	3273.879177	89.728322
11	28514.414344	3624.489597	127.110785
12	34962.052051	3356.255098	95.997085
