Name	1	2	3	4	5	6	7	8	9	10	11	12
Nuclear	3720.000	3360.000	0.000	3600.000	3720.000	3600.000	3720.000	826.200	3600.000	3720.000	3600.000	3720.000
NG	0.000	0.000	0.000	0.000	0.000	36.446	1251.861	0.000	1806.306	4667.072	4452.398	9300.000
Coal	6696.000	5376.000	12648.000	9765.449	12648.000	12240.000	12648.000	12648.000	12240.000	12648.000	12240.000	6519.031
Hydro Dams	6441.723	5965.456	4956.266	5370.022	5468.859	5031.407	5061.061	4510.490	4123.997	3327.537	3529.470	3234.835
Hydro River	3029.523	2805.536	2330.917	2525.505	2571.988	2366.256	2380.202	2121.270	1939.504	1564.931	1659.899	1521.333
Wind	6424.183	4987.463	5575.706	3479.928	3474.715	2684.889	2949.467	2680.110	3101.959	5521.834	5995.382	6707.008
Solar	1591.044	2564.621	3622.685	4453.344	4699.699	4571.784	4944.475	4699.699	3719.016	2643.581	1516.032	1077.014
Geothermal	73.613	1145.088	1267.776	1226.880	1267.776	1226.880	1267.776	1267.776	1226.880	1267.776	1226.880	1267.776
Electricity	7384.645	3436.320	4959.381	1336.533	1509.693	0.000	1137.888	6607.186	0.000	0.000	0.000	0.000
CHP	0.000	2298.240	0.000	2462.400	0.000	2462.400	0.000	0.000	2462.400	0.000	0.000	2013.733
