period	demand_gwh	cost_meur	price_eur_per_mwh
1	26030.146429	3426.235598	131.625675
2	30586.310934	2578.723510	84.309727
3	23712.233765	3629.299809	153.056007
4	24766.621808	3428.268202	138.422924
5	31878.413084	3033.864048	95.169858
6	31867.977851	3090.542017	96.979546
7	30828.307317	3128.478578	101.480712
8	29204.752558	3274.760861	112.131094
9	35220.610859	2839.159687	80.610745
10	31393.730804	3331.999904	106.135837
11	30214.288657	3239.539414	107.218788
12	31933.562175	3309.661235	103.642093
