Name	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	-41.273237	-41.176949	-40.985477	-40.737889	-40.598451	-40.490939	-40.455525	-40.447584	-40.696637	-41.044190	-41.272805	-41.347758
GASOLINE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
LNG	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
NG	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
NG_CCS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_CCS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HEAT_HIGH_T	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404	-2.171404
HEAT_LOW_T_DHN	-4.558387	-4.240874	-3.388382	-1.120345	-0.435314	-0.435314	-0.435314	-0.435314	-0.750986	-2.301503	-3.405215	-4.994801
HEAT_LOW_T_DECEN	-10.104425	-9.400604	-7.510913	-2.483432	-0.964945	-0.964945	-0.964945	-0.964945	-1.664687	-5.101665	-7.548227	-11.071810
MOB_PUBLIC	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147
MOB_PRIVATE	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147	-8.336147
MOB_FREIGHT_RAIL	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445	-2.737445
MOB_FREIGHT_ROAD	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963	-1.824963
